USAF,WBAN,Station_Name,CTRY,ST,Call,LAT,LON,ELEV,BEGIN,END
153030,99999,BOGUS,ROMANIAN,RO,19870701,19971227.0,,,,
153040,99999,BOGUS,ROMANIAN,RO,19880201,20020903.0,,,,
153070,99999,RAMNICU,SARAT,RO,+45.383,27.05,154.0,19740315.0,2025-03-10,
153100,99999,GALATI,RO,+45.483,+028.033,71.0,19350702.0,20250310.0,,
153110,99999,BOGUS,ROMANIAN,RO,19850102,19971231.0,,,,
153120,99999,BOGUS,ROMANIAN,RO,19371103,20020809.0,,,,
153140,99999,RESITA,RO,+45.300,+021.917,286.0,19830401.0,20250310.0,,
153150,99999,SEMENIC,RO,+45.183,+022.050,1433.0,19730721.0,20250310.0,,
153160,99999,CUNTU,RO,+45.300,+022.517,1450.0,19730721.0,20250310.0,,
153170,99999,TARCU,RO,+45.283,+022.533,2186.0,19730721.0,20250310.0,,
153180,99999,20010710,20030208,,,,,,,
153190,99999,VOINEASA,RO,+45.417,+023.967,575.0,19730720.0,20250310.0,,
153200,99999,PARANG,RO,+45.383,+023.467,1550.0,19730720.0,20250310.0,,
153210,99999,PARING,(AUT),RO,+45.350,23.517,2075.0,19740318.0,1997-12-31,
153220,99999,BOGUS,ROMANIAN,RO,19890101,19971231.0,,,,
153240,99999,CAMPULUNG,MUSCEL,RO,+45.283,25.033,680.0,19740315.0,2025-03-10,
153250,99999,SINAIA-1500,RO,+45.350,+025.500,1510.0,19730721.0,20250310.0,,
153280,99999,PATARLAGELE,RO,+45.317,+026.367,291.0,19740315.0,20250310.0,,
153330,99999,BRAILA,RO,+45.200,+027.917,15.0,19830401.0,20250310.0,,
153350,99999,CATALOI,RO,LRTC,+45.062,28.714,61.0,19730105.0,2025-03-10,
153355,99999,TULCEA/CATALOI,RO,+45.067,+028.717,46.0,19760203.0,19900108.0,,
153360,99999,GORGOVA,RO,+45.183,+029.167,4.0,19740315.0,20250310.0,,
153370,99999,MAHMUDIA,RO,+45.083,+029.067,173.0,19930501.0,20250310.0,,
153380,99999,ORAVITA,RO,+45.033,+021.683,310.0,19730108.0,20250310.0,,
153400,99999,TARGU,JIU,RO,+45.033,23.267,205.5,19660506.0,2025-03-10,
153410,99999,APA,NEAGRA,RO,+45.000,22.867,251.0,19730819.0,2025-03-10,
153440,99999,POLOVRAGI,RO,+45.183,+023.817,532.0,19740315.0,20250310.0,,
153450,99999,MORARESTI,RO,+45.000,+024.533,550.0,19730728.0,20250310.0,,
153460,99999,RAMNICU,VALCEA,RO,+45.100,24.367,239.0,19370316.0,2025-03-10,
153470,99999,CURTEA,DE,ARGES,RO,45.167,24.667,449.0,1973-07-21,2025-03-10
153480,99999,BOGUS,ROMANIAN,RO,19910601,19971231.0,,,,
153490,99999,CAMPINA,RO,+45.144,+025.750,463.0,19730721.0,20250310.0,,
153500,99999,BUZAU,RO,+45.150,+026.817,97.0,19360101.0,20250310.0,,
153510,99999,BOGUS,ROMANIAN,RO,19870611,20030622.0,,,,
153550,99999,FAUREI/=694514,KQYB,RO,+45.067,27.233,53.0,19730721.0,1997-12-31,
153560,99999,VIZIRU,RO,+45.017,+027.700,20.0,19730721.0,19971231.0,,
153570,99999,BOGUS,ROMANIAN,RO,19900301,20021103.0,,,,
153580,99999,BOGUS,ROMANIAN,RO,19880201,19971231.0,,,,
153600,99999,SULINA,RO,+45.167,+029.733,9.0,19360101.0,20250310.0,,
153610,99999,BOGUS,ROMANIAN,RO,19890520,20020724.0,,,,
153630,99999,CARBUNARI,RO,+44.833,+021.750,90.0,19840104.0,20020519.0,,
153640,99999,BOZOVICI,RO,+44.917,+022.000,252.0,19740315.0,20250310.0,,
153660,99999,BAILE,HERCULANE,RO,+44.883,22.417,176.0,19830401.0,2025-03-10,
153690,99999,TARGU,LOGRESTI,RO,+44.883,23.7,265.0,19730721.0,2025-03-10,
153730,99999,PITESTI,RO,+44.850,+024.817,315.0,19660202.0,20250310.0,,
153750,99999,TARGOVISTE,RO,+44.933,+025.433,297.7,19730105.0,20250310.0,,
153770,99999,PLOIESTI,RO,+44.950,+026.000,177.0,19660105.0,20250310.0,,
153800,99999,20010718,20030711,,,,,,,
153870,99999,SFANTU,GHEORGHE,DELTA,RO,44.9,29.6,2.0,1973-01-02,2025-03-10
153880,99999,MOLDOVA,VECHE,RO,+44.717,21.633,83.0,19740315.0,2025-03-10,
153890,99999,BERZASCA,RO,+44.650,+021.950,68.0,19730721.0,19971231.0,,
153950,99999,DRAGASANI,RO,+44.667,+024.233,281.0,19730721.0,20250310.0,,
153990,99999,BOGUS,ROMANIAN,RO,19910201,20030921.0,,,,
154010,99999,BOGUS,ROMANIAN,RO,19851101,19971231.0,,,,
154020,99999,URZICENI,RO,+44.717,+026.650,61.0,19730721.0,20250310.0,,
154050,99999,GRIVITA,RO,+44.750,+027.300,51.0,19660105.0,20250310.0,,
154060,99999,HARSOVA,RO,+44.683,+027.950,38.0,19740315.0,20250310.0,,
154080,99999,CORUGEA,RO,+44.733,+028.350,220.0,19730804.0,20250310.0,,
154090,99999,JURILOVCA,RO,+44.767,+028.883,38.0,19730105.0,20250310.0,,
154100,99999,DROBETA,TURNU,SEVERIN,RO,44.633,22.633,80.0,1936-01-01,2025-03-10
154120,99999,BACLES,RO,+44.483,+023.117,313.0,19730721.0,20250310.0,,
154130,99999,BOGUS,ROMANIAN,RO,19920301,19971231.0,,,,
154140,99999,BOGUS,ROMANIAN,RO,19840402,19971231.0,,,,
154160,99999,STOLNICI,RO,+44.567,+024.800,210.0,19730721.0,20250310.0,,
154190,99999,TITU,RO,+44.650,+025.583,160.0,19740315.0,20250310.0,,
154200,99999,AUREL,VLAICU,RO,LRBS,44.503,26.102,90.5,1931-01-06,2025-03-10
154210,99999,HENRI,COANDA,RO,LROP,44.571,26.085,95.7,1973-01-01,2025-03-10
154215,99999,CAMPIA,TURZII,RO,LRCT,46.502,23.886,330.1,2005-07-27,2025-03-10
154220,99999,BUCURESTI,FILARET,RO,+44.417,26.1,83.5,19790808.0,2025-03-10,
154230,99999,DILGA,RO,+44.450,+026.967,51.0,19730721.0,19971231.0,,
154240,99999,FUNDULEA,RO,+44.467,+026.517,67.0,19730721.0,19971231.0,,
154250,99999,SLOBOZIA,RO,+44.550,+027.400,52.0,19830401.0,20250310.0,,
154280,99999,GURA,PORTITEI,RO,+44.683,29.0,6.0,19850410.0,2025-03-10,
154290,99999,SARULESTI,RO,+44.417,+026.650,88.0,19830401.0,19971231.0,,
154340,99999,SLATINA,RO,+44.433,+024.350,173.0,19830401.0,20250310.0,,
154360,99999,BOGUS,ROMANIAN,RO,+00.000,0.0,159.0,19850501.0,1997-12-31,
154430,99999,DOR,MARUNT,RO,+44.450,26.917,40.0,19830401.0,1997-12-31,
154440,99999,FETESTI,RO,+44.367,+027.850,61.0,19730105.0,20250310.0,,
154450,99999,CERNAVODA,RO,+44.350,+028.050,88.0,19850801.0,20250310.0,,
154470,99999,SARBATO,RO,+44.283,+023.633,162.0,19840401.0,19860807.0,,
154480,99999,BOGUS,ROMANIAN,RO,+00.000,0.0,19910201.0,19971231.0,,
154490,99999,BOGUS,ROMANIAN,RO,19910201,20020916.0,,,,
154500,99999,CRAIOVA,RO,LRCV,+44.318,23.889,190.8,19360101.0,2025-03-10,
154510,99999,CRAIOVA,RO,+44.300,+023.800,113.0,19740315.0,19901024.0,,
154550,99999,VIDELE,RO,+44.283,+025.533,107.0,19740318.0,20250310.0,,
154580,99999,MINASTIREA,RO,+44.250,+026.850,41.0,19740429.0,19841112.0,,
154600,99999,CALARASI,RO,+44.200,+027.350,20.0,19360101.0,20250310.0,,
